Date,open,high,low,close,volume,change,ma5,ma10,ma20,ma60,ma120,upperband,middleband,lowerband
2019-08-12,44000,44000,43550,43700,8466169,0.012746234067207318,43240.0,44220.0,45467.5,44882.5,45005.833333333336,48538.700905183505,45467.5,42396.299094816495
2019-08-13,43500,43500,42950,43000,7276979,-0.016018306636155555,43140.0,43865.0,45275.0,44899.166666666664,44973.333333333336,48456.11615631998,45275.0,42093.88384368002
2019-08-14,43900,44250,43500,43700,8750135,0.016279069767441756,43240.0,43700.0,45157.5,44908.333333333336,44946.25,48388.64143918214,45157.5,41926.35856081786
2019-08-16,43800,43900,43300,43900,9528115,0.004576659038901587,43490.0,43570.0,45047.5,44915.0,44919.166666666664,48292.569336701454,45047.5,41802.430663298546
2019-08-19,44350,44350,43500,43600,6014218,-0.006833712984054663,43580.0,43435.0,44887.5,44910.833333333336,44887.916666666664,48086.386525027105,44887.5,41688.613474972895
2019-08-20,43950,44600,43550,44450,8434205,0.019495412844036775,43730.0,43485.0,44750.0,44940.0,44868.75,47770.927010041785,44750.0,41729.072989958215
2019-08-21,44350,44800,44150,44500,6571717,0.0011248593925758943,44030.0,43585.0,44610.0,44970.833333333336,44850.0,47395.60585869574,44610.0,41824.39414130426
2019-08-22,44500,44700,43850,44050,8061177,-0.010112359550561778,44100.0,43670.0,44492.5,44995.833333333336,44841.25,47162.00838170626,44492.5,41822.99161829374
2019-08-23,43800,44200,43650,43950,5017381,-0.002270147559591429,44110.0,43800.0,44330.0,45031.666666666664,44833.75,46699.26148831234,44330.0,41960.73851168766
2019-08-26,43050,43800,42950,43600,7954949,-0.007963594994311762,44110.0,43845.0,44152.5,45049.166666666664,44828.333333333336,46153.368561400275,44152.5,42151.631438599725
2019-08-27,43650,44200,43600,44050,16883932,0.010321100917431103,44030.0,43880.0,44050.0,45075.0,44828.75,45840.251378996814,44050.0,42259.748621003186
2019-08-28,44100,44400,43750,44150,5758333,0.002270147559591429,43960.0,43995.0,43930.0,45080.833333333336,44826.25,45308.187215148944,43930.0,42551.812784851056
2019-08-29,44200,44200,43050,43400,10768862,-0.016987542468856143,43830.0,43965.0,43832.5,45080.0,44822.916666666664,45063.05881614818,43832.5,42601.94118385182
2019-08-30,43750,44300,43750,44000,9899073,0.01382488479262678,43840.0,43975.0,43772.5,45081.666666666664,44825.833333333336,44836.20813666155,43772.5,42708.79186333845
2019-09-02,44850,44850,43650,43800,7185537,-0.004545454545454519,43880.0,43995.0,43715.0,45075.0,44818.75,44632.1150418568,43715.0,42797.8849581432
2019-09-03,43550,43650,43100,43250,9774941,-0.01255707762557079,43720.0,43875.0,43680.0,45049.166666666664,44813.75,44611.87982057774,43680.0,42748.12017942226
2019-09-04,43250,44100,43150,44100,12441837,0.01965317919075149,43710.0,43835.0,43710.0,45036.666666666664,44815.833333333336,44655.304183847715,43710.0,42764.695816152285
2019-09-05,44800,46100,44450,45700,18297430,0.03628117913832196,44170.0,44000.0,43835.0,45055.0,44828.333333333336,45088.43527954179,43835.0,42581.56472045821
2019-09-06,46500,46500,45850,46300,9896562,0.013129102844638973,44630.0,44235.0,44017.5,45097.5,44850.0,45557.71914025245,44017.5,42477.28085974755
2019-09-09,46450,47000,46300,46900,9434157,0.012958963282937441,45250.0,44565.0,44205.0,45145.833333333336,44875.0,46139.657592443684,44205.0,42270.342407556316
2019-09-10,47100,47200,46550,47000,9231792,0.002132196162046851,46000.0,44860.0,44370.0,45197.5,44899.583333333336,46638.34741607188,44370.0,42101.65258392812
2019-09-11,47300,47400,46800,47150,16141619,0.0031914893617022155,46610.0,45160.0,44577.5,45244.166666666664,44910.416666666664,47056.10343742197,44577.5,42098.89656257803
2019-09-16,47000,47100,46400,47100,15550926,-0.0010604453870625141,46890.0,45530.0,44747.5,45273.333333333336,44915.0,47420.78917253634,44747.5,42074.21082746366
